"Source:","/media/suya/playground/a5d27_handheld_console/a5d27_handheld_console_pcb/a5d27_handheld_console_pcb.kicad_sch"
"Date:","Sat 28 Oct 2023 12:32:05 PM KST"
"Tool:","Eeschema 7.0.8-7.0.8~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","153"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"BAT1","1","8v","BAT","a5d27_handheld_console:BAT","1048","",""
"C1, C2, C3","3","4u7","C_Tantalum_3216","a5d27_handheld_console:C_Tantalum_3216","","",""
"C4, C20, C21, C26, C28, C31, C37, C40","8","10u","C_Tantalum_3216","a5d27_handheld_console:C_Tantalum_3216","","",""
"C5, C6, C9, C13, C14, C15, C16, C17, C22, C23, C30, C33, C36, C41","14","100n","C_Ceramic_2012","a5d27_handheld_console:C_Ceramic_2012","","",""
"C7, C10, C11, C12, C34, C35, C38, C39","8","2u2","C_Tantalum_3216","a5d27_handheld_console:C_Tantalum_3216","","",""
"C8, C19","2","1u","C_Tantalum_3216","a5d27_handheld_console:C_Tantalum_3216","","",""
"C18","1","220n","C_Ceramic_2012","a5d27_handheld_console:C_Ceramic_2012","","",""
"C24","1","10n","C_Ceramic_2012","a5d27_handheld_console:C_Ceramic_2012","","",""
"C25","1","470p","C_Ceramic_2012","a5d27_handheld_console:C_Ceramic_2012","","",""
"C27","1","100u","CAP_6.3pix5.3mm","a5d27_handheld_console:CAP_6.3pix5.3mm","","",""
"C29","1","470n","C_Ceramic_2012","a5d27_handheld_console:C_Ceramic_2012","","",""
"C32","1","200p","C_Ceramic_2012","a5d27_handheld_console:C_Ceramic_2012","","",""
"D1","1","RED","LED_2012","a5d27_handheld_console:LED_2012","","",""
"D2","1","GREEN","LED_2012","a5d27_handheld_console:LED_2012","","",""
"D3","1","YELLOW","LED_2012","a5d27_handheld_console:LED_2012","","",""
"D4, D7","2","~","CMS06","a5d27_handheld_console:CMS06","SCHOTTKY DIODE","",""
"D5, D6","2","~","ES2DA-13-F","a5d27_handheld_console:ES2DA-13-F","POWER DIODE","",""
"J1","1","~","CONN_MALE","a5d27_handheld_console:CONN_MALE","","",""
"J2","1","~","CONN_FEMALE","a5d27_handheld_console:CONN_FEMALE","","",""
"J3","1","~","USB_B","a5d27_handheld_console:USB_B","","",""
"J4","1","DM3AT","DM3AT","a5d27_handheld_console:HRS_DM3AT-SF-PEJM5","","",""
"J5","1","~","DM3CS","a5d27_handheld_console:DM3CS","","",""
"J7","1","~","DEBUG_PORT","a5d27_handheld_console:DEBUG_PORT","","",""
"J8","1","9v","DC_JACK","a5d27_handheld_console:DC_JACK","54-00164","",""
"J9","1","~","ER-TFT043-7","a5d27_handheld_console:ER-TFT043-7","62684-402100ALF","",""
"L1","1","22u","NLCV25T-220K-PF","a5d27_handheld_console:NLCV25T-220K-PF","","",""
"L2","1","56u","LQH3NPH560MMEL","a5d27_handheld_console:LQH3NPH560MMEL","","",""
"L3","1","4u7","DFE252012F-4R7M","a5d27_handheld_console:DFE252012F-4R7M","4u7","",""
"MIC1","1","~","SPH0645LM4H-B","a5d27_handheld_console:SPH0645LM4H-B","","",""
"PAD1, PAD2, PAD3, PAD4, PAD5, PAD6, PAD7, PAD8","8","~","PAD","a5d27_handheld_console:PAD","","",""
"Q1, Q2, Q3","3","~","MMBT3904","a5d27_handheld_console:MMBT3904","","",""
"Q4","1","~","DMC2400UV","a5d27_handheld_console:DMC2400UV","DMC2400UV","",""
"Q5","1","~","P-FET","a5d27_handheld_console:DMP3099L","DMP3099L","",""
"Q6, Q7","2","~","N-FET","a5d27_handheld_console:N-FET","DMN6140L","",""
"R1, R2, R11, R20, R21, R23, R24, R25, R26, R38, R42, R43, R45, R48, R49, R50, R51, R53","18","10k","R_2012","a5d27_handheld_console:R_2012","","",""
"R3, R5, R7, R8, R27, R29, R31, R32","8","68k","R_2012","a5d27_handheld_console:R_2012","","",""
"R4","1","22k","R_2012","a5d27_handheld_console:R_2012","","",""
"R6","1","15k","R_2012","a5d27_handheld_console:R_2012","","",""
"R9, R10","2","DNP","R_2012","a5d27_handheld_console:R_2012","","",""
"R12, R13, R14, R15, R16, R18, R19, R22, R28, R30, R52","11","1k","R_2012","a5d27_handheld_console:R_2012","","",""
"R17","1","5.6","R_2012","a5d27_handheld_console:R_2012","","",""
"R33, R34, R35","3","~","R_2012","a5d27_handheld_console:R_2012","","",""
"R36, R37","2","10","R_2012","a5d27_handheld_console:R_2012","","",""
"R39","1","3k","R_2012","a5d27_handheld_console:R_2012","","",""
"R40","1","750","R_2012","a5d27_handheld_console:R_2012","","",""
"R41","1","1k2","R_2012","a5d27_handheld_console:R_2012","","",""
"R44","1","51","R_2012","a5d27_handheld_console:R_2012","","",""
"R46","1","3k3","R_2012","a5d27_handheld_console:R_2012","","",""
"R47","1","6k8","R_2012","a5d27_handheld_console:R_2012","","",""
"SPKR1","1","~","SPEAKER","a5d27_handheld_console:SPEAKER","SP-1609S","",""
"SW1","1","UP","SWITCH","a5d27_handheld_console:SWITCH","TL3301NF260QG","",""
"SW2","1","DOWN","SWITCH","a5d27_handheld_console:SWITCH","TL3301NF260QG","",""
"SW3","1","RIGHT","SWITCH","a5d27_handheld_console:SWITCH","TL3301NF260QG","",""
"SW4","1","LEFT","SWITCH","a5d27_handheld_console:SWITCH","TL3301NF260QG","",""
"SW5","1","X","SWITCH","a5d27_handheld_console:SWITCH","TL3301NF260QG","",""
"SW6","1","Y","SWITCH","a5d27_handheld_console:SWITCH","TL3301NF260QG","",""
"SW7","1","A","SWITCH","a5d27_handheld_console:SWITCH","TL3301NF260QG","",""
"SW8","1","B","SWITCH","a5d27_handheld_console:SWITCH","TL3301NF260QG","",""
"SW9","1","SYS_0","SWITCH","a5d27_handheld_console:SWITCH","TL3301NF260QG","",""
"SW10","1","SYS_1","SWITCH","a5d27_handheld_console:SWITCH","TL3301NF260QG","",""
"SW11, SW12, SW13, SW14, SW15","5","~","EVQ-P7A01P","a5d27_handheld_console:EVQ-P7A01P","","",""
"U1","1","1V8","1117","a5d27_handheld_console:1117","","",""
"U2","1","~","ATSAMA5D27-SOM1","a5d27_handheld_console:ATSAMA5D27-SOM1","","",""
"U3","1","~","ADG849","a5d27_handheld_console:ADG849","","",""
"U4","1","~","AP3036B","a5d27_handheld_console:AP3036B","","",""
"U5","1","~","R1240N001B","a5d27_handheld_console:R1240N001B","","",""
"U6","1","5V","1117","a5d27_handheld_console:1117","","",""
"U7","1","~","ESP32-C3-WROOM-02","a5d27_handheld_console:ESP32-C3-WROOM-02","","",""
"U8","1","3V3","1117","a5d27_handheld_console:1117","","",""
